"year","ECONOMIC.FREEDOM","rank","quartile","X1a_government_consumption","X1b_transfers","X1c_gov_enterprises","X1d_top_marg_tax_rate","X1_size_government","X2a_judicial_independence","X2b_impartial_courts","X2c_protection_property_rights","X2d_military_interference","X2e_integrity_legal_system","X2f_legal_enforcement_contracts","X2g_restrictions_sale_real_property","X2h_reliability_police","X2i_business_costs_crime","X2j_gender_adjustment","X2_property_rights","X3a_money_growth","X3b_std_inflation","X3c_inflation","X3d_freedom_own_foreign_currency","X3_sound_money","X4a_tariffs","X4b_regulatory_trade_barriers","X4c_black_market","X4d_control_movement_capital_ppl","X4_trade","X5a_credit_market_reg","X5b_labor_market_reg","X5c_business_reg","X5_regulation","continent"
2001,6.23,78,3,4.911896368,8.709209096,8,5.5,6.780276366,3.923076789,3.951612711,4.348958333,3.333333333,1.666666667,1.803958128,8.743539444,5.07924306325,3.04744748491667,1,3.967306486,8.531520707,8.329929037,8.406472139,5,7.566980471,7.722341211,6.25,10,3.9361925,6.977133428,8.197812834,3.840791324,5.511400792,5.85000165,"South America"
2009,4.36,140,4,6.726237217,5.773841962,0,7,4.875019795,1.153850063,1.221750739,1.256418009,0.833333333,1.666666667,3.965791434,8.388571116,1.855662802,2.119482144,1,2.495725145,6.694780384,6.064461036,4.282257491,5,5.510374728,7.798888889,2.66640231,0,3.458045686,3.480834221,8.799356221,4.516355896,2.980274702,5.431995606,"South America"
2005,5.99,109,4,6.981961445,8.277929155,10,5,7.56497265,1.960784314,2.62254902,3.179487179,7.222222222,5,5.015583364,6.735160227,3.112745098,3.161764706,1,4.223366237,3.32922498,5.374067505,8.072120091,5,5.443853144,6.487466667,5.691877688,10,3.494736128,6.418520121,8.267548676,5.116998342,5.539379688,6.307975569,"South America"
1990,4.23,98,4,4.545425089,7.220708447,7,5.5,6.066533384,4.52471324544444,4.07689372355556,7.3,6.5991729465,6.7,4.39592355541176,8.31345887005882,4.4285543405,3.45765993741667,1,6.185587054,0,0,0,0,0,4.844444444,5.93647284877778,8,0,4.281481481,4.403473717,4.783633333,3.93225621566667,4.593553525,"South America"
2001,5.98,87,3,4.439027364,5.959094532,8,5.5,5.974530474,5.299145381,4.561403592,4.833333492,6.666666667,3.333333333,4.668907737,8.092731002,4.4285543405,3.45765993741667,1,5.350788743,8.476820348,9.217503106,8.631905718,0,6.581557293,7.251111111,6.000000079,10,4.165760385,6.854217894,6.153736543,4.835004304,4.355559753,5.114766866,"South America"
1980,6.33,20,1,7.614557399,7.656675749,6,10,7.817808287,7.0748733176875,5.11175096733333,4.1,6.96831234222222,8.3,3.84060653264706,6.42653492288235,5.19762443608333,5.34981235441667,1,5.609274831,1.454618708,5.276,0,10,4.182654677,4.066666667,6.41133748894118,10,10,8.022222222,5.5,6.23815071817647,6.25590529823529,5.99609,"South America"
2011,7.91,8,1,6.941176471,8.04359673,10,7,7.9961933,7.197183863,6.196344716,6.93169465,7.5,7.5,5.109379145,8.986799029,8.431420503,6.628544375,0.896551724,6.794013689,8.344472098,7.848840683,9.332,10,8.881328195,9.470666667,7.777967302,10,5.405935466,8.163642359,9.333333333,6.271465197,7.579189264,7.727995931,"South America"
2006,6.15,106,3,4.464705882,7.836512262,8,5.5,6.450304536,3.571910385,3.102224016,5.765588364,6.666666667,4.166666667,4.81963627,8.229142848,2.624217325,3.03349945,1,4.664394666,8.33612418,8.600135063,9.163250572,5,7.774877454,7.766222222,6.175930131,9.80952381,5.784483053,7.384039804,6.11965641,3.84944126,3.49125035,4.486782674,"South America"
2014,6.58,104,3,5.097058824,7.209945348,10,4.5,6.701751043,2.818181813,3.43403395,5.087773522,3.333333333,3.333333333,2.217,9.040189726,5.073686563,2.897900979,0.864864865,3.857725063,9.010560461,9.155946374,9.42443795,5,8.147736196,8.038133333,3.89433368,10,5.680959731,6.903356686,9.094333333,6.026003203,6.737484136,7.285940224,"South America"
2010,5.59,139,4,6.135294118,6.119042933,6,5,5.813584263,2.632735965,2.6093075,2.921977105,7.5,4.166666667,5.015583364,6.697361752,3.167397807,4.114294386,0.962962963,4.23403745,7.532735758,9.136862065,4.68,5,6.587399456,5.586577778,5.325735057,10,3.592951135,6.126315993,5.241274608,5.358953068,5.020353177,5.206860284,"South America"
