"V1","V2","V3","V4","V5","V6","V7","V8","V9"
272922.988666472,-8.40040186744773e-05,17058207482.4511,-4.67589383674749e-05,18484453.2569367,36188179891.0792,6041657579.64503,-18044061033.607,340257923922233
354973.986236327,0.000420906516296782,22111056251.0599,0.000326716853578546,25413555.9173398,-21366425768.9392,11548306312.4264,-69243238312.1511,645221996197064
249223.763215503,-7.11328363536268e-05,15615915847.5177,-3.78083340706326e-05,42290793.1356152,9486058209.94261,4262234020.65301,-53848201130.9614,241561506072715
316904.555608805,0.000386694239125518,19074208187.7911,0.000227170294976986,-100497835.538249,18633208811.2717,6680963789.4716,8546418233.2857,366084710134735
257042.443843094,-1.76964502998089e-05,16733399090.2836,-1.76616748603919e-05,-271885589.649809,-84216818508.8742,5081970956.59563,-19783430463.546,297862779257824
400501.540039222,-2.77103367807285e-07,24117439450.9632,6.88293005168816e-06,52658005.8895584,-34918868286.4024,12666854216.4246,-65885386245.8904,712708180550660
333414.527058745,-3.93721494447163e-05,19686879703.0607,-0.000147341648812471,129934886.914487,28557864033.5583,8327556801.44674,-137978802245.762,466657874735930
358930.663960765,-5.40700364126678e-06,21696495252.6553,0.000158166400183291,81856786.5328586,29350188973.9322,10311914102.3467,-57272653109.5548,578880434955735
491109.693843038,-4.09097896181265e-05,29366385996.0684,-0.000207657993428256,-54514321.8471615,34134794356.1027,22852977552.6297,-61112773429.3112,1262948210936319
465373.28356815,-0.000207058846513064,27248218592.5474,-5.54445982743346e-05,110136567.246273,40866158959.521,21665610408.6946,-241027370948.678,1195809846091335
337307.266274401,-3.78837169705548e-05,20673629165.5028,3.73735474568093e-05,-47957683.9765905,23270276370.4826,9065961846.78836,-132060635666.753,513686000786266
372511.138313701,-1.75838148379626e-05,22402140949.744,1.96219172039491e-05,50897784.4171644,22103126217.8416,10474102988.4355,-82319924018.0045,585044776851832
437957.09517641,-1.43138482826544e-05,26256079000.9867,-0.00018827968392543,51022271.7232733,-23462568348.7968,18245921954.1198,-257025947372.758,1021599943531296
352962.090156871,8.82045912931062e-06,20551634690.4635,0.000110711493221061,48684631.3415,10533517110.2602,8585421697.04226,-101347841971.414,471921117507087
326213.659490273,3.26927256537601e-05,19734792668.562,-7.94324531625534e-05,-125823005.400158,29668748507.9488,8145068566.02182,-52373395600.7815,456546391302821
276464.377058947,4.32199585134185e-05,17194522986.5411,6.18072642737388e-05,833146233.454715,-58534702383.7798,10190444501.3974,132152073029.025,591797026591957
309860.480588399,4.91733673584349e-05,19214634656.4264,1.54594924310913e-05,232190931.577662,-150027172423.36,12272421268.5759,102551670155.773,703317189292802
216013.503137456,7.10129020831118e-05,13521661326.9186,6.0856312273927e-05,756210633.451188,49898814565.0965,7247322295.71823,-39574219318.6178,415276626850965
280956.588941196,1.09168374251567e-05,17713901896.6519,5.65022651812797e-05,119810590.831144,52243510847.4527,8873661750.39216,74176645925.9283,508708586264845
337146.927961035,9.27214755392924e-05,21558846236.0835,2.0060732708771e-05,288613236.201066,-43345570159.9385,13238538331.1921,57403736386.454,772462143465596
279702.804470421,-6.45687199209988e-05,18142688723.0064,-5.16664887868501e-05,1497491097.35703,-49737648987.8867,12133947950.3793,-58243021961.725,694078302480362
271918.442980499,4.13244316632699e-05,16484673611.4368,2.71904119983901e-05,960740386.479432,-53418656335.0744,7646231701.6659,-89026549360.2185,428679789276109
295244.797529491,3.29467806636785e-05,17401237640.4274,7.33884835995013e-05,640596913.887368,-20980620208.9757,10170294876.7979,-32550245501.1026,558826757906907
337940.635098206,5.82661528483186e-05,20139654035.754,6.72224340405592e-05,697396633.169745,-3580457971.06591,10616916870.4785,18443353493.253,591916408993733
389641.140196397,0.000109726958214651,21794197265.6436,0.000134785497664325,454545926.167235,38282643483.2482,17177510594.0982,122130474793.97,930201800760228
